"","Import_ISO3","Year","imports","unequal_imports","prop_unequal"
"3285","JOR",1996,5414.48434794717,NA,NA
"3286","JOR",1997,2405.60002505127,NA,NA
"3287","JOR",1998,896.30932473857,NA,NA
"3288","JOR",1999,2311.99330856744,NA,NA
"3289","JOR",2000,2135.03999968804,NA,NA
"3290","JOR",2001,3011.77999084722,NA,NA
"3291","JOR",2002,4390.79198524356,NA,NA
"3292","JOR",2003,617.573332435917,NA,NA
"3293","JOR",2004,9349.51994881942,NA,NA
"3294","JOR",2005,8671.93300271058,NA,NA
"3295","JOR",2006,4375.05964442203,NA,NA
"3296","JOR",2007,3579.65364858042,NA,NA
"3297","JOR",2008,15303.5440679588,NA,NA
"3298","JOR",2009,6392.94769715139,NA,NA
"3299","JOR",2010,10444.4460207152,NA,NA
"3300","JOR",2011,9549.56402319815,NA,NA
"3301","JOR",2012,14908.906710838,NA,NA
"3302","JOR",2013,14110.495640879,NA,NA
"3303","JOR",2014,14041.4346513783,NA,NA
"3304","JOR",2015,16525.1986106968,NA,NA
"3305","JPN",1976,84055.700418435,NA,NA
"3306","JPN",1977,171307.899842672,NA,NA
"3307","JPN",1978,136057.200211041,NA,NA
"3308","JPN",1979,186699.599003203,NA,NA
"3309","JPN",1980,156954.600153081,NA,NA
"3310","JPN",1981,221093.299194463,NA,NA
"3311","JPN",1982,128581.399954513,NA,NA
"3312","JPN",1983,150087.000114329,NA,NA
"3313","JPN",1984,175263.599792644,NA,NA
"3314","JPN",1985,208471.29901769,NA,NA
"3315","JPN",1986,252785.799639374,NA,NA
"3316","JPN",1987,264592.699461944,NA,NA
"3317","JPN",1988,231380.999483161,NA,NA
"3318","JPN",1989,424152.901012145,4.90000009536743,0.0000115524380092054
"3319","JPN",1990,455106.800526239,215.999998867512,0.000474613867816854
"3320","JPN",1991,932006.200511582,974.900000810623,0.00104602308469139
"3321","JPN",1992,931644.598670043,247.200003065169,0.000265337236343189
"3322","JPN",1993,1246030.69877193,902.600011497736,0.000724380235886102
"3323","JPN",1994,1098501.79912537,5910.69993101805,0.00538069208054478
"3324","JPN",1995,1061135.19968415,3168.10002640635,0.00298557622756209
"3325","JPN",1996,1404819.59950735,20878.999772802,0.0148624063759674
"3326","JPN",1997,1554903.50170232,3.20000004768372,0.00000205800555737404
"3327","JPN",1998,1152642.59590915,263.09999756515,0.000228258090147736
"3328","JPN",1999,1051837.80010986,4.59999990463257,0.00000437329776905917
"3329","JPN",2000,1368628.10161192,NA,NA
"3330","JPN",2001,1442554.10308854,7943.79989486933,0.00550676045900913
"3331","JPN",2002,1329739.30326835,2,0.00000150405421204309
"3332","JPN",2003,1272609.19774161,3273.5999995023,0.00257235293074392
"3333","JPN",2004,1419581.2988203,79.6000016406178,0.0000560728728300147
"3334","JPN",2005,1243854.40065899,70.6000030040741,0.0000567590571425969
"3335","JPN",2006,1329826.40053876,8.70000010728836,0.00000654220739170443
"3336","JPN",2007,1054961.30044647,NA,NA
"3337","JPN",2008,1231253.49695497,92.4999992251396,0.0000751266895516664
"3338","JPN",2009,934055.798465431,6795.10004304349,0.00727483310334054
"3339","JPN",2010,1131986.19897875,15193.7998664379,0.0134222483278907
"3340","JPN",2011,1142711.30276587,16793.0999124199,0.0146958377603977
"3341","JPN",2012,1106519.29641053,22263.4999343827,0.0201202997603421
"3342","JPN",2013,983758.30033572,24.4000001102686,0.0000248028403947817
"3343","JPN",2014,1008094.10016563,NA,NA
