country,max_yr,min_yr,total_years,mov_avg_imports,mov_avg_unequal,mov_avg_prop_unequal,time
KEN,2015,1976,39,8428.66664702467,2661.81109651512,0.349717090896351,2015
KGZ,2015,1994,21,222.999999841054,,,1994
KGZ,2015,1994,21,203.925001403317,,,1995
KGZ,2015,1994,21,418.980000980198,,,1996
KGZ,2015,1994,21,715.260003915428,,,1997
KGZ,2015,1994,21,954.100005058942,,,1998
KGZ,2015,1994,21,1072.62000776976,,,1999
KGZ,2015,1994,21,1129.96000501364,,,2000
KGZ,2015,1994,21,1260.13999530077,,,2001
KGZ,2015,1994,21,1482.49999368042,,,2002
KGZ,2015,1994,21,1948.78000195026,,,2003
KGZ,2015,1994,21,2222.41333417622,,,2004
KGZ,2015,1994,21,2540.44000131093,,,2005
KGZ,2015,1994,21,2161.39474458393,,,2006
KGZ,2015,1994,21,2266.63207487311,,,2007
KGZ,2015,1994,21,1908.43473724067,,,2008
KGZ,2015,1994,21,1460.1014032385,,,2009
KGZ,2015,1994,21,2011.31472909786,,,2010
KGZ,2015,1994,21,2520.85999826733,,,2011
KGZ,2015,1994,21,1863.10266534332,,,2012
KGZ,2015,1994,21,1583.19146116078,,,2013
KGZ,2015,1994,21,1978.23932645097,,,2014
KGZ,2015,1994,21,1044.45244950801,,,2015
KHM,2015,1994,21,1648.86663762728,667.80000668764,0.323585067501927,1994
KHM,2015,1994,21,1459.14997671358,456.033337851364,0.227895663128221,1995
KHM,2015,1994,21,1368.31998349875,456.033337851364,0.227895663128221,1996
KHM,2015,1994,21,1402.69998657703,657.900006204842,0.320438893617974,1997
KHM,2015,1994,21,1195.26000343561,579.566673854986,0.463433951311431,1998
KHM,2015,1994,21,772.300001010299,227.700004667043,0.392970460539577,1999
KHM,2015,1994,21,617.280001306534,422.900009155273,0.749424066698346,2000
KHM,2015,1994,21,524.099999053776,318.400003846735,0.573098231444076,2001
KHM,2015,1994,21,383.100001651049,213.366669254998,0.383662931748362,2002
KHM,2015,1994,21,649.980002722144,108.599999304861,0.20078236427337,2003
KHM,2015,1994,21,868.180001206696,72.4333328704039,0.133885223569833,2004
KHM,2015,1994,21,965.080002024769,119.524998899549,0.209189358612218,2005
KHM,2015,1994,21,1006.56000212133,197.749998813495,0.286419567767673,2006
KHM,2015,1994,21,957.680003370344,242.549999857321,0.387934227124074,2007
KHM,2015,1994,21,776.120000270009,258.65999853611,0.37556082259961,2008
KHM,2015,1994,21,753.300000986457,291.459998230636,0.408845525921094,2009
KHM,2015,1994,21,876.10000217259,354.639999377727,0.416880389939406,2010
KHM,2015,1994,21,949.100001585484,262.919999414682,0.288013448022615,2011
KHM,2015,1994,21,1822.02000709772,283.024998206645,0.257304067582634,2012
KHM,2015,1994,21,2119.38000736684,269.666666525106,0.234383021942927,2013
KHM,2015,1994,21,2402.85001017526,322.450000550598,0.268317303529303,2014
KHM,2015,1994,21,2799.33334507545,68.1999983787537,0.0613585232276737,2015
KIR,2015,1989,26,62.0999990478158,70.5999996215105,1,1989
KIR,2015,1989,26,68.2333323806524,70.5999996215105,1,1990
KIR,2015,1989,26,77.4249992854893,70.5999996215105,1,1991
KIR,2015,1989,26,109.849998533726,,,1992
KIR,2015,1989,26,112.059999170899,45.5000008717179,0.376344087878899,1993
KIR,2015,1989,26,121.659999850392,27.8000004179776,0.237876767257284,1994
