country,max_yr,min_yr,total_years,mov_avg_fished,mov_avg_disp,mov_avg_unequal,mov_avg_unequal_hs,mov_avg_unequal_eez,mov_avg_unequal_fishing_in_waters,mov_avg_prop_disp,mov_avg_prop_unequal,time
ECU,2015,1976,39,430859.251616474,195926.562483141,195832.263140355,170038.033116667,25794.230023688,,0.437514034037267,0.999381474260849,1976
ECU,2015,1976,39,470807.610721993,221128.104446993,221054.051905266,201708.3793875,19345.672517766,,0.453730793418775,0.999524890098916,1977
ECU,2015,1976,39,500966.823178967,238326.812218967,238258.789444213,222782.25143,15476.5380142128,,0.461800538386693,0.999591321644159,1978
ECU,2015,1976,39,549930.008281199,238894.863761199,238841.056282859,228620.53468,10220.521602859,,0.428897582955321,0.999736624962751,1979
ECU,2015,1976,39,582175.400893973,232466.277773973,232447.22466,232447.22466,0,,0.392302166538767,0.999917859529906,1980
ECU,2015,1976,39,526801.586950363,193092.535150363,193077.18848,193077.18848,0,,0.355983189680924,0.999930222218256,1981
ECU,2015,1976,39,577047.009522654,172357.492482653,172344.80824,172344.80824,0,,0.301370414969408,0.999939194695632,1982
ECU,2015,1976,39,662683.463721282,135423.122861281,135419.21936,135419.21936,0,,0.225883037652052,0.999967785130606,1983
ECU,2015,1976,39,748886.848509872,138338.235369871,138336.43034,138336.43034,0,,0.211227838774885,0.999988546052236,1984
ECU,2015,1976,39,753320.44606,128957.96034,128957.96034,128957.96034,0,,0.19356412094742,1,1985
ECU,2015,1976,39,846381.20488,140253.74746,140253.74746,140253.74746,0,,0.170762004135336,1,1986
ECU,2015,1976,39,798678.0451,130593.07834,130593.07834,130593.07834,0,,0.172880933691178,1,1987
ECU,2015,1976,39,644722.940694,138008.087794,122991.161752,122991.161752,0,138106.1938,0.263494482332263,0.905864655250645,1988
ECU,2015,1976,39,518200.570676,154171.051556,120026.733892,120026.733892,0,204295.1862,0.36332594358401,0.808508549887252,1989
ECU,2015,1976,39,440806.677716,155313.158948,113122.23036,113122.23036,0,254485.665,0.43591061445944,0.739379208576762,1990
ECU,2015,1976,39,336906.442668,152898.88898,96091.839366,96091.839366,0,309127.4344,0.503897707901578,0.640184467746833,1991
ECU,2015,1976,39,280223.32802,158210.003452,84461.547428,84461.547428,0,390808.3002,0.563001186563213,0.541291047920496,1992
ECU,2015,1976,39,324673.739966,197891.447618,112943.541036,112943.541036,0,542809.99328,0.591587003413818,0.562182391117448,1993
ECU,2015,1976,39,401035.475424,195963.387696,130142.872736,130142.872736,0,610891.44695,0.520900564640036,0.65953849648084,1994
ECU,2015,1976,39,465013.899124,217849.022004,160075.117968,160075.117968,0,696233.055066667,0.496213661521087,0.728667837791331,1995
ECU,2015,1976,39,474358.834172,224503.926572,181346.143562,181346.143562,0,807823.2113,0.501219460363662,0.827862578621259,1996
ECU,2015,1976,39,510673.55856,244403.15218,218186.77558,218186.77558,0,898114.6592,0.502127217780154,0.926755998447597,1997
ECU,2015,1976,39,529446.90494,227084.30608,227084.30608,227084.30608,0,,0.45063255385499,1,1998
ECU,2015,1976,39,507295.39688,256561.32404,256561.32404,256561.32404,0,,0.510905120056604,1,1999
ECU,2015,1976,39,464573.666,241897.8368,241897.8368,241897.8368,0,,0.521740627196122,1,2000
ECU,2015,1976,39,480631.17968,250383.5687,250383.5687,250383.5687,0,,0.5202176313681,1,2001
ECU,2015,1976,39,451397.3474,238944.58532,238944.58532,238944.58532,0,,0.532448716198565,1,2002
ECU,2015,1976,39,424802.50046,241635.1198,241635.1198,241635.1198,0,,0.564393980670352,1,2003
ECU,2015,1976,39,400909.886,224443.18218,224443.18218,224443.18218,0,,0.556705111046747,1,2004
ECU,2015,1976,39,418873.88992,234953.33238,234953.33238,234953.33238,0,,0.561398759115606,1,2005
ECU,2015,1976,39,440096.67868,242841.4369,242841.4369,242841.4369,0,,0.553544135174976,1,2006
ECU,2015,1976,39,468693.6989,250607.2773,250607.2773,250607.2773,0,,0.534632273656696,1,2007
ECU,2015,1976,39,455988.46988,237081.6784,237081.6784,237081.6784,0,,0.520335884442157,1,2008
ECU,2015,1976,39,463561.47484,255322.31934,255322.31934,255322.31934,0,,0.548455105800997,1,2009
ECU,2015,1976,39,484192.09292,276526.91134,276526.91134,276526.91134,0,,0.569659148114962,1,2010
ECU,2015,1976,39,485751.50346,290721.44974,290721.44974,290721.44974,0,,0.595742886884618,1,2011
ECU,2015,1976,39,502882.5459,311537.21462,311537.21462,311537.21462,0,,0.616527021011796,1,2012
ECU,2015,1976,39,551312.1448,346043.92712,346043.92712,346043.92712,0,,0.629287779613691,1,2013
ECU,2015,1976,39,562687.18345,347690.749225,347690.749225,347690.749225,0,,0.618831654168397,1,2014
ECU,2015,1976,39,579635.5944,359893.0643,359893.0643,359893.0643,0,,0.622517816114769,1,2015
EGY,2015,1976,39,27151.663966119,22090.7332454523,17787.9007082047,570.968540633333,17216.9321675713,7571.42278137167,0.798087088945462,0.771733846735245,1976
EGY,2015,1976,39,29733.499525167,22814.915599667,17222.2809933595,714.374655725,16507.9063376345,6913.66272332875,0.76524171233862,0.734132501587633,1977
EGY,2015,1976,39,30237.3997597332,22439.0715953332,16232.578299873,808.12027658,15424.458023293,6730.728462263,0.742015061651019,0.70455806466776,1978
EGY,2015,1976,39,30854.0008592076,21346.2817038076,13953.9548040804,990.09965716,12963.8551469204,6722.935312579,0.693220810829176,0.64234616231611,1979
EGY,2015,1976,39,29862.4012397074,19631.2715471074,11542.2200549256,1094.75860578,10447.4614491456,6004.15043415,0.658103848221072,0.58683476569153,1980
EGY,2015,1976,39,30886.6010395504,20455.1101019504,11961.3825332454,1122.04808574,10839.3344475054,5491.25537903333,0.663952242403477,0.583159391190386,1981
EGY,2015,1976,39,27932.3987990802,18577.2753502802,10579.516997659,1040.91563384,9538.601363819,5766.69179395,0.667992597967185,0.569368561248574,1982
EGY,2015,1976,39,29051.1987400208,19758.1334052208,11324.1447202914,1033.29629524,10290.8484250514,5534.3921699,0.680005057200972,0.571318543834705,1983
EGY,2015,1976,39,30157.198720411,20693.710095611,11924.15036911,1081.92607784,10842.22429127,,0.685840573390426,0.574517477961827,1984
EGY,2015,1976,39,36563.8013406438,23985.1588738438,13611.6339204416,1169.85964664,12441.7742738016,,0.666800663101591,0.567343623248352,1985
EGY,2015,1976,39,44126.203142138,28298.877542938,15985.1826521078,1449.1227743,14536.0598778078,,0.653663418291262,0.56507087418512,1986
EGY,2015,1976,39,55439.6049627466,35742.9936607466,21463.3397325766,2465.1085334,18998.2311991766,,0.649536734642173,0.59093698115674,1987
EGY,2015,1976,39,62917.003263103,40389.078587103,24965.2109195164,3068.9607846,21896.2501349164,,0.640808402466249,0.605571513501674,1988
EGY,2015,1976,39,71498.4038836398,45841.7703716398,29333.926974947,4442.1389686,24891.788006347,,0.637310804417921,0.629388204179207,1989
EGY,2015,1976,39,77462.0013838184,50596.1626398184,33059.2304939522,5089.4452902,27969.7852037522,,0.6518157521478,0.648920736196815,1990
EGY,2015,1976,39,83666.5996207518,55829.2001167518,37918.8118011684,5559.655253,32359.1565481684,,0.666581218769593,0.678245317914947,1991
EGY,2015,1976,39,86591.5989009812,57910.8796889812,39509.9828021366,4937.5914834,34572.3913187366,,0.667995795664843,0.680966927513798,1992
EGY,2015,1976,39,89744.8015996066,60199.8937176066,41427.0802024146,4446.555768,36980.5244344146,,0.670088827329838,0.687230852783639,1993
EGY,2015,1976,39,93251.8826000386,62761.9114520386,42770.925735438,3315.3372034,39455.588532038,,0.672878931183064,0.680944710231719,1994
EGY,2015,1976,39,97991.125279011,66419.929255011,45476.1477087554,3028.4565108,42447.6911979554,,0.677714774841661,0.68544159707651,1995
EGY,2015,1976,39,103932.526601353,69279.223793353,46274.9059350648,2732.7878914,43542.1180436648,,0.667782604129683,0.670202227430416,1996
EGY,2015,1976,39,119621.928660916,79442.8441749164,51348.6615034344,3371.1487288,47977.5127746344,,0.665457128891562,0.652725491642745,1997
EGY,2015,1976,39,127590.729280892,85168.4449508918,55209.4456722088,4070.4112594,51139.0344128088,,0.668045993000241,0.651061327087342,1998
EGY,2015,1976,39,134320.447339665,89745.4736336652,58454.908642942,4312.7386326,54142.170010342,,0.668795359623274,0.653809741675081,1999
EGY,2015,1976,39,138787.405839333,92699.4923353332,60283.3151985478,4443.126149,55840.1890495478,,0.668042845432517,0.652154420029971,2000
EGY,2015,1976,39,137251.004458568,91900.431956568,61716.9692869042,4606.264529,57110.7047579042,,0.66962097450102,0.677601594789477,2001
EGY,2015,1976,39,125060.60521674,83554.1474467404,58424.8162845652,4168.6558424,54256.1604421652,,0.667110447215095,0.702241340143349,2002
EGY,2015,1976,39,120382.40373903,78159.60395103,54626.1323482762,3726.4524956,50899.6798526762,,0.646901146192634,0.701217453976457,2003
EGY,2015,1976,39,117667.005860367,73525.5406783668,51101.1128242746,3544.9102162,47556.2026080746,,0.623345830234026,0.694796193354859,2004
EGY,2015,1976,39,117316.606120904,70339.024746904,48103.5261943004,3512.4400698,44591.0861245004,,0.600796406761271,0.682782620138462,2005
EGY,2015,1976,39,121089.009062819,70303.300864819,45651.77080493,3304.800698,42346.97010693,,0.582576770189424,0.650856983698938,2006
EGY,2015,1976,39,124374.208202828,70371.3555808278,44284.3692276896,3295.9401944,40988.4290332896,,0.566424593499831,0.631351464593027,2007
EGY,2015,1976,39,127156.009221121,71230.1911751208,43928.3861460676,3373.6194072,40554.7667388676,,0.560025859799901,0.617328528536937,2008
EGY,2015,1976,39,127695.40951927,71404.57434927,43817.1969175994,3448.5329518,40368.6639657994,,0.559020424992074,0.614000881265223,2009
EGY,2015,1976,39,124385.410318436,69538.2548884358,43104.2325606884,3465.4745324,39638.7580282884,,0.559115290869978,0.620308744748574,2010
EGY,2015,1976,39,118469.009237669,66551.7837996688,42006.8066684604,3684.786315,38322.0203534604,,0.562036787993194,0.631582551321753,2011
EGY,2015,1976,39,114464.608999424,64463.6849274242,41020.9899740308,3915.806032,37105.1839420308,,0.563781015262379,0.637002633146602,2012
EGY,2015,1976,39,110778.513900277,63133.700690277,40945.0179499846,4172.8846238,36772.1333261846,,0.570767311140355,0.649245636458137,2013
EGY,2015,1976,39,107897.389351522,62215.5851590218,40816.823938038,4354.318229,36462.505709038,,0.576900435932825,0.656414943966001,2014
